Scheme,Unit,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Hawea,cumecs,1931,87.7,53.6,49.4,34.3,25.4,16.4,12.3,65.4,62.5,55.8,51.9,39.7,40.9,59.4,70.21471429,41.58685714,33.149,37.098,22.30028571,21.75285714,41.08871429,45.57514286,38.98785714,32.16357143,40.12285714,32.11971429,44.04428571,100.5947143,160.8454286,101.3935714,58.64528571,101.6315714,56.86257143,70.29042857,88.946,50.26057143,39.09185714,60.52114286,111.9145714,91.277,44.34628571,47.51857143,69.98942857,43.73371429,49.89214286,59.07885714,39.78928571,52.56028571,55.47971429,45.37942857,37.71785714,33.09485714,48.40171429
Hawea,cumecs,1932,32.83942857,64.49914286,82.32957143,43.33357143,40.41142857,34.06328571,51.91314286,21.06271429,8.009,8.009,8.009,8.009,11.92785714,25.70542857,24.01314286,21.09785714,13.46714286,11.68,10.27342857,24.61914286,18.98457143,27.56271429,33.45657143,36.48542857,35.82142857,23.90928571,31.245,118.2661429,72.99457143,63.20542857,52.44828571,66.16985714,51.941,46.88785714,181.4785714,63.53257143,91.83042857,60.46985714,58.12857143,69.85842857,38.755,41.524,43.88328571,70.44214286,116.4837143,57.36971429,118.9915714,154.6491429,64.86142857,44.01528571,79.078,133.7952857,133.7952857
Hawea,cumecs,1933,93.97671429,133.0937143,137.843,149.509,66.47357143,62.41014286,111.4905714,93.78428571,66.21371429,43.32714286,30.48642857,28.94728571,27.08914286,34.67685714,27.844,119.682,96.08214286,62.45014286,60.968,39.22285714,32.43085714,29.36914286,49.07628571,42.37785714,47.01942857,67.40085714,42.10985714,158.8404286,63.82971429,62.885,58.19671429,45.22571429,50.96985714,54.67657143,66.68,57.35942857,69.61457143,77.97828571,102.8605714,54.30285714,33.745,52.494,58.11214286,74.203,56.48314286,36.85128571,39.37285714,26.58014286,37.914,47.95242857,24.13028571,47.44014286,47.44014286
Hawea,cumecs,1934,23.74157143,106.9452857,90.29757143,156.566,67.97014286,136.4267143,106.0584286,83.28742857,76.843,78.15771429,41.24071429,34.52171429,52.13942857,48.53671429,29.53342857,44.16757143,32.52971429,29.86871429,48.71557143,114.8437143,82.49685714,17.09328571,86.86214286,29.49557143,44.58742857,86.34457143,87.21742857,205.223,160.6407143,128.8904286,64.36085714,55.62885714,46.12514286,62.72214286,83.75,59.00628571,64.71985714,41.87271429,54.01314286,59.31871429,57.74257143,103.4927143,84.81671429,118.4102857,60.61357143,51.34285714,38.18442857,110.7061429,34.97942857,27.419,61.32242857,80.81985714,80.81985714
Hawea,cumecs,1935,153.5621429,65.96728571,74.86985714,36.18114286,42.74371429,47.48314286,29.90428571,99.53185714,48.71942857,103.539,60.54885714,40.66028571,41.29342857,38.55957143,27.60814286,24.48542857,24.76185714,24.25585714,25.38442857,36.19757143,61.78357143,25.99,29.30971429,21.78714286,20.21828571,19.80414286,36.98514286,81.74014286,74.611,41.49971429,56.25142857,47.497,44.67771429,86.47928571,61.18885714,67.82557143,67.76785714,65.40142857,65.03357143,68.74571429,35.12614286,36.443,46.32914286,42.55471429,32.959,28.96585714,39.896,129.4685714,73.32357143,44.12885714,36.04214286,40.20557143,40.20557143
Hawea,cumecs,1936,39.97971429,74.58114286,87.78742857,39.30857143,117.0328571,53.92742857,77.13628571,39.17614286,31.47028571,27.514,27.77714286,30.511,20.18785714,35.92171429,49.85257143,24.68557143,61.10042857,35.28328571,20.91171429,83.26271429,102.1988571,98.35142857,119.0978571,38.13071429,120.8335714,79.39985714,92.24085714,100.6437143,250.0368571,115.1527143,117.883,198.2765714,109.0275714,106.5112857,195.4785714,150.8734286,104.9494286,82.88542857,83.41885714,87.56357143,79.81714286,100.518,64.47457143,85.92857143,51.41528571,49.62242857,69.88514286,44.35971429,85.97142857,56.70442857,38.20528571,41.92257143,59.46228571
Hawea,cumecs,1937,107.0442857,163.5071429,93.045,70.32714286,40.59928571,116.3161429,95.99542857,87.00771429,60.79228571,84.65357143,58.705,50.27314286,42.71557143,38.05242857,27.18857143,20.60885714,14.885,31.22042857,41.12814286,21.71785714,49.11142857,35.34428571,28.93828571,37.68514286,58.02885714,45.859,36.85385714,44.67557143,42.132,38.091,43.68428571,49.77271429,54.12971429,66.32371429,48.69271429,48.73928571,51.75785714,54.73557143,69.5,92.19857143,124.6851429,72.64357143,63.517,52.38285714,60.615,62.06285714,27.74214286,67.41357143,69.57785714,59.25171429,47.54328571,49.58014286,49.58014286
Hawea,cumecs,1938,84.74157143,75.44071429,142.6108571,57.92942857,55.04814286,51.546,43.10885714,38.90142857,31.02842857,27.21771429,36.19757143,95.44228571,49.85985714,45.28142857,30.58857143,38.78185714,22.256,19.59671429,18.02971429,153.0881429,36.95771429,48.16471429,58.01185714,37.42028571,97.86828571,50.782,58.98742857,116.7684286,81.32514286,76.141,70.22457143,71.21985714,99.77085714,75.28657143,86.503,107.8364286,96.20657143,119.3101429,58.54728571,50.96314286,54.10685714,48.70085714,36.57157143,38.915,39.718,34.08585714,66.99914286,41.43285714,32.30371429,63.34614286,35.47257143,25.76385714,25.76385714
Hawea,cumecs,1939,17.25857143,17.89014286,85.38357143,37.58942857,37.97485714,24.34814286,26.83542857,69.999,93.92314286,46.81857143,88.63685714,33.873,102.0691429,57.997,32.22514286,24.99957143,28.19128571,18.90371429,16.74557143,30.604,21.34071429,23.03285714,35.70271429,119.0207143,51.21471429,177.8,37.11414286,64.67671429,55.94314286,54.78985714,53.59757143,57.50771429,139.1845714,79.134,72.23585714,142.6077143,108.6677143,61.80542857,78.65342857,55.62228571,45.47571429,96.24857143,68.16214286,111.7507143,86.16671429,104.0521429,62.73985714,107.6851429,232.0898571,67.12714286,44.88157143,41.86171429,41.86171429
Hawea,cumecs,1940,74.29085714,51.64071429,37.77728571,34.94528571,65.75728571,118.9562857,51.722,149.4212857,75.95857143,50.08957143,99.23828571,56.923,48.05214286,33.64414286,35.49285714,35.649,26.64142857,21.583,26.05257143,22.53757143,23.02071429,41.47857143,35.73228571,25.87185714,31.94028571,48.198,78.373,41.53728571,80.92871429,114.2617143,276.6077143,98.66285714,64.88171429,128.7462857,60.987,76.15685714,97.48371429,65.31685714,84.65328571,54.69628571,44.66428571,55.84457143,53.35657143,59.16342857,76.23328571,47.11614286,50.19714286,26.72185714,32.38028571,71.06671429,37.28757143,39.10557143,39.10557143
